t,u,theta,theta_rad,phi
3.98,35,10.62751,10.62751,36
3.99,35,10.63825,10.63825,36
4,35,10.7024,10.7024,36
4.01,35,10.75193,10.75193,36
4.02,35,10.68479,10.68479,36
4.03,35,10.56046,10.56046,36
4.04,35,10.40221,10.40221,36
4.05,35,10.12008,10.12008,36
4.06,35,9.768632,9.768632,36
4.07,35,9.42226,9.42226,36
4.08,35,9.03479,9.03479,36
4.09,35,8.555017,8.555017,36
4.1,35,8.024115,8.024115,36
4.11,35,7.438017,7.438017,36
4.12,35,6.807379,6.807379,36
4.13,35,6.154933,6.154933,36
4.14,35,5.484504,5.484504,36
4.15,35,4.774438,4.774438,36
4.16,35,4.012454,4.012454,36
4.17,35,3.235406,3.235406,36
4.18,35,2.459199,2.459199,36
4.19,35,1.678045,1.678045,36
4.2,35,0.8898504,0.8898504,36
4.21,35,0.08937099,0.08937099,36
4.22,35,-0.709014,-0.709014,36
4.23,35,-1.501525,-1.501525,36
4.24,35,-2.268046,-2.268046,36
4.25,35,-3.011408,-3.011408,36
4.26,35,-3.737094,-3.737094,36
4.27,35,-4.436105,-4.436105,36
4.28,35,-5.107314,-5.107314,36
4.29,35,-5.742824,-5.742824,36
4.3,35,-6.336534,-6.336534,36
4.31,35,-6.885534,-6.885534,36
4.32,35,-7.38711,-7.38711,36
4.33,35,-7.840597,-7.840597,36
4.34,35,-8.236231,-8.236231,36
4.35,35,-8.576097,-8.576097,36
4.36,35,-8.85885,-8.85885,36
4.37,35,-9.08619,-9.08619,36
4.38,35,-9.255682,-9.255682,36
4.39,35,-9.364636,-9.364636,36
4.4,35,-9.40834,-9.40834,36
4.41,35,-9.39607,-9.39607,36
4.42,35,-9.31944,-9.31944,36
4.43,35,-9.189601,-9.189601,36
4.44,35,-9.007258,-9.007258,36
4.45,35,-8.768704,-8.768704,36
4.46,35,-8.472323,-8.472323,36
4.47,35,-8.124187,-8.124187,36
4.48,35,-7.726139,-7.726139,36
4.49,35,-7.286957,-7.286957,36
4.5,35,-6.809747,-6.809747,36
4.51,35,-6.289278,-6.289278,36
4.52,35,-5.724129,-5.724129,36
4.53,35,-5.126798,-5.126798,36
4.54,35,-4.499407,-4.499407,36
