t,u,theta,phi
3.28,1.564088e-05,-1.206997e-05,0
3.29,-4.164938e-05,-3.932419e-05,0
3.3,-7.368721e-06,-6.858877e-05,0
3.31,-4.694349e-05,-6.765743e-05,0
3.32,9.984304e-06,-3.904617e-05,0
3.33,-9.154058e-05,-0.0001229117,0
3.34,-1.397565e-05,-0.0001348898,0
3.35,-0.0001112677,-0.0001637757,0
3.36,4.810114e-06,-0.0001228374,0
3.37,-0.0001292658,-0.0001664803,0
3.38,3.601419e-05,-9.992588e-05,0
3.39,-0.0001678167,-0.0001863622,0
3.4,-1.983395e-05,-0.0002506303,0
3.41,-0.0001443301,-0.0001900634,0
3.42,-6.552486e-05,-0.0002864039,0
3.43,-0.0001455747,-0.0002563646,0
3.44,-2.670307e-05,-0.0002016747,0
3.45,-0.0001402221,-0.0002109837,0
3.46,-1.748859e-05,-0.0001925232,0
3.47,-0.0001026627,-0.0001360778,0
3.48,3.100274e-05,-7.407402e-05,0
3.49,-3.860796e-05,1.201598e-05,0
3.5,0.0001190329,0.0001300362,0
3.51,7.747873e-06,0.0001679559,0
3.52,0.0001116901,0.000143078,0
3.53,5.378034e-05,0.0002280914,0
3.54,0.0001673665,0.0002925476,0
3.55,5.401225e-05,0.0002714487,0
3.56,0.0001626374,0.0002705999,0
3.57,8.15027e-05,0.0003167003,0
3.58,0.000149001,0.0002786061,0
3.59,-2.838526e-06,0.0001507354,0
3.6,0.0001304972,0.0001625193,0
3.61,2.17493e-05,0.000199571,0
3.62,0.0001075433,0.000148964,0
3.63,1.177238e-05,0.0001492048,0
3.64,0.0001399794,0.0002031847,0
3.65,-2.297405e-05,0.0001272807,0
3.66,0.0001504065,0.0001699605,0
3.67,-2.069859e-05,0.0001595263,0
3.68,0.0001704058,0.0001963365,0
3.69,-1.15559e-05,0.0001993043,0
3.7,0.000168305,0.0001948137,0
3.71,-2.511861e-05,0.000173706,0
3.72,0.0001298246,0.0001166079,0
3.73,-1.501017e-05,0.000152488,0
3.74,0.0001236485,0.0001302345,0
3.75,-2.482221e-05,0.000121299,0
3.76,0.0001371694,0.0001468123,0
3.77,-6.408633e-05,7.286762e-05,0
3.78,9.432841e-05,2.611424e-05,0
3.79,-7.847987e-05,1.770948e-05,0
3.8,9.96191e-05,2.93289e-05,0
3.81,-5.173924e-05,7.002347e-05,0
3.82,8.961173e-05,3.977966e-05,0
3.83,-7.618719e-05,9.114337e-06,0
3.84,0.0001110802,5.511691e-05,0
3.85,-0.0001010324,-1.625904e-06,0
3.86,9.328131e-05,-1.237647e-05,0
3.87,-4.53714e-05,8.397533e-05,0
3.88,7.61829e-05,2.336072e-05,0
3.89,-9.084267e-05,-3.221988e-05,0
3.9,0.0001028,3.06688e-05,0
3.91,-7.153569e-05,4.188424e-05,0
3.92,8.191506e-05,3.337547e-06,0
3.93,-8.982111e-05,-1.428927e-05,0
3.94,0.0001447157,9.625399e-05,0
3.95,-5.352543e-05,0.000119899,0
3.96,0.0001382863,0.0001013017,0
3.97,-6.382297e-05,9.033823e-05,0
3.98,0.0001297233,7.972107e-05,0
3.99,-5.583851e-05,9.656754e-05,0
4,0.0001233251,8.028842e-05,0
4.01,-8.008716e-05,4.53004e-05,0
4.02,0.0001274422,6.382489e-05,0
4.03,-7.470623e-05,6.661827e-05,0
4.04,0.0001475001,9.911705e-05,0
4.05,-6.851726e-05,9.859908e-05,0
4.06,0.000140897,8.776653e-05,0
4.07,-0.0001186109,7.888026e-06,0
4.08,0.0001155878,-7.667717e-06,0
4.09,-0.0001218643,-7.90476e-06,0
4.1,0.0001061038,-2.363248e-05,0
4.11,-0.0001061836,7.744507e-06,0
4.12,0.000146037,6.384088e-05,0
4.13,-8.307255e-05,8.36605e-05,0
4.14,0.0001457679,7.660541e-05,0
4.15,-0.0001024184,4.671399e-05,0
4.16,8.408558e-05,-4.612604e-05,0
4.17,-8.519326e-05,1.352923e-05,0
4.18,0.0001542169,0.0001105297,0
4.19,-7.697415e-05,9.189473e-05,0
4.2,0.0001989497,0.000172661,0
4.21,-8.961769e-05,0.0001246664,0
4.22,0.0001885995,0.0001234142,0
4.23,-0.0001220026,6.985669e-05,0
4.24,0.0001585927,3.769784e-05,0
4.25,-0.000176897,-4.307323e-05,0
4.26,0.0002028154,5.7555e-05,0
4.27,-0.0001982175,-1.152192e-05,0
4.28,0.0001902873,-9.376474e-06,0
4.29,-0.0001861512,1.001898e-05,0
4.3,0.0002201708,5.335974e-05,0
4.31,-0.000171337,6.360313e-05,0
4.32,0.0002370614,8.833964e-05,0
4.33,-9.681142e-05,0.0002043035,0
4.34,0.0002921339,0.0002574364,0
4.35,-0.0001190313,0.0002026923,0
4.36,0.0002177604,9.698444e-05,0
4.37,-0.0001807324,2.938527e-05,0
4.38,0.0002214733,5.81065e-05,0
4.39,-0.0001660264,7.304273e-05,0
4.4,0.0001673588,-2.212694e-05,0
4.41,-0.0002087317,-6.157914e-05,0
4.42,0.0001467687,-8.274513e-05,0
4.43,-0.0002636388,-0.0001672016,0
4.44,0.0001626799,-0.0001125309,0
4.45,-0.000197471,-2.047495e-05,0
4.46,0.0001214351,-0.0001199016,0
4.47,-0.0002003578,-9.15706e-05,0
4.48,9.728568e-05,-0.0001412633,0
4.49,-0.0002227771,-0.0001620647,0
4.5,8.390561e-05,-0.000177431,0
4.51,-0.0002070747,-0.0001461382,0
4.52,5.368712e-05,-0.0002069333,0
4.53,-0.0002199765,-0.0002081712,0
4.54,0.0001028972,-0.0001257418,0
4.55,-0.0001761295,-8.013999e-05,0
4.56,8.507407e-05,-0.0001250458,0
4.57,-0.0001457066,-5.937233e-05,0
4.58,8.544316e-05,-8.064833e-05,0
4.59,-0.0001336859,-5.352171e-05,0
4.6,8.515404e-05,-6.304578e-05,0
4.61,-0.0001812474,-0.0001391403,0
4.62,8.991174e-05,-0.000105846,0
4.63,-0.000152333,-6.875336e-05,0
4.64,6.397066e-05,-0.0001243527,0
4.65,-0.000167247,-0.0001306764,0
4.66,8.565525e-05,-9.24275e-05,0
4.67,-0.0001700213,-0.000109801,0
4.68,0.0001122161,-5.974168e-05,0
4.69,-0.0001801887,-9.337376e-05,0
4.7,9.778808e-05,-0.0001062098,0
4.71,-0.0001737719,-9.123646e-05,0
4.72,0.0001363025,-3.203695e-05,0
4.73,-0.0001293057,2.234023e-05,0
4.74,0.000203119,0.0001155755,0
4.75,-8.916546e-05,0.0001513975,0
4.76,0.0002144394,0.000158324,0
4.77,-9.669586e-05,0.0001434645,0
4.78,0.000247389,0.0002033338,0
4.79,-0.0001226426,0.0001401328,0
4.8,0.000214343,0.000106123,0
4.81,-0.0001523913,6.78785e-05,0
4.82,0.000197846,5.313171e-05,0
4.83,-0.0001418653,7.559065e-05,0
4.84,0.0002078086,8.470872e-05,0
4.85,-0.0001613699,4.916169e-05,0
4.86,0.0002095684,6.394362e-05,0
4.87,-0.0001151278,0.0001360864,0
4.88,0.0002197204,0.0001289589,0
4.89,-8.024577e-05,0.0001894714,0
4.9,0.0002281373,0.0001833286,0
4.91,-0.0001694078,3.677284e-05,0
4.92,0.0001649933,-1.961514e-05,0
4.93,-0.0001779125,-1.499367e-05,0
4.94,0.0002026865,4.628777e-05,0
4.95,-0.000166983,4.407652e-05,0
4.96,0.0002499709,0.000123621,0
4.97,-0.0002011823,4.010729e-05,0
4.98,0.0002251283,2.654094e-05,0
4.99,-0.0001986401,3.530007e-05,0
5,0.000175322,-5.063023e-05,0
5.01,-0.0002134402,-4.665363e-05,0
5.02,0.0001958622,-1.374545e-05,0
5.03,-0.0002309535,-5.390364e-05,0
5.04,0.000164331,-9.306959e-05,0
5.05,-0.0002047458,-3.633484e-05,0
5.06,0.0001923695,-8.515653e-06,0
5.07,-0.0001962009,-3.547234e-06,0
5.08,0.0002575374,0.0001034098,0
5.09,-0.0001738458,0.000105016,0
5.1,0.000238353,7.25066e-05,0
5.11,-0.0001522913,0.0001192672,0
5.12,0.0002747477,0.0001643382,0
5.13,-0.0001496095,0.0001537842,0
5.14,0.0002837977,0.0001723855,0
5.15,-0.000147906,0.0001690244,0
5.16,0.0002782608,0.0001609167,0
5.17,-0.0001081779,0.0002298327,0
5.18,0.0002778288,0.0002061407,0
5.19,-8.729536e-05,0.0002488422,0
5.2,0.0002845206,0.0002457614,0
5.21,-0.0001536041,0.0001362737,0
5.22,0.0002536925,0.0001213893,0
5.23,-0.0002041083,4.217727e-05,0
5.24,0.0002381635,4.269962e-05,0
5.25,-0.0002093428,3.380133e-05,0
5.26,0.0002728835,9.463403e-05,0
5.27,-0.000209077,7.479949e-05,0
5.28,0.0002764068,8.728322e-05,0
5.29,-0.0001725489,0.0001440021,0
5.3,0.0002850823,0.0001395549,0
5.31,-0.0001789194,0.0001304199,0
5.32,0.0002972909,0.0001538126,0
5.33,-0.00017923,0.0001454972,0
5.34,0.000268905,0.0001009593,0
5.35,-0.0002259464,3.794462e-05,0
5.36,0.0002700214,6.081012e-05,0
5.37,-0.00019583,0.0001033823,0
5.38,0.0003180782,0.0001692862,0
5.39,-0.0001859712,0.0001637495,0
5.4,0.0003524928,0.0002229527,0
5.41,-0.0001245711,0.0003055518,0
5.42,0.0003409711,0.0002588159,0
5.43,-0.0001650836,0.0002068739,0
5.44,0.0003730025,0.0002775736,0
5.45,-0.0001666846,0.0002513386,0
5.46,0.0003701594,0.000255345,0
5.47,-0.0001320705,0.0003116998,0
5.48,0.0003795743,0.0003086065,0
5.49,-0.000193442,0.0002073517,0
5.5,0.0003791593,0.0002404116,0
