t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.57,-0.0001902537,-0.001313064,0.0002145022,-0.01256058,0.001853943,0.0003511781,0.003350765,0
1.58,-0.000234908,-0.0006684379,0.0007474236,-0.003888207,0.001853943,0.0004521409,-0.0005090192,0
1.59,-0.0002670026,-0.0002020677,-0.0005848892,0.002816703,0.001853943,0.0005097734,-0.004125736,0
1.6,-0.0002847313,0.0001381199,-5.196035e-05,0.007109916,0.001853943,0.0005352139,-0.006320324,0
1.61,-0.0003076676,0.0003867396,0.0002145022,0.009784741,0.001853943,0.000541968,-0.007596468,0
1.62,-0.0002272868,0.0005634672,-0.0008513518,0.01133512,0.001853943,0.0005387238,-0.008262445,0
1.63,-0.0001118143,0.0007210226,0.0004809648,0.0122917,0.001853943,0.0005310687,-0.008531403,0
1.64,-9.093827e-05,0.0008739417,-0.0005848892,0.01289052,0.001853943,0.0005224484,-0.008554844,0
1.65,-1.167622e-05,0.0009881164,-0.0003184266,0.0130426,0.001853943,0.0005150501,-0.008396085,0
1.66,-4.233592e-05,0.001092558,-0.0005848892,0.01296057,-0.003008366,0.0005104427,-0.008090818,0
1.67,3.52046e-05,-5.487842e-05,0.0004809648,-0.002651613,0.001853943,0.0002654892,-0.0001839041,0
1.68,5.094261e-05,0.0003396528,0.001013886,0.001784906,-0.003008366,0.000348002,-0.001752818,0
1.69,1.254961e-05,-0.0005759984,0.0004809648,-0.009625459,0.001853943,0.0001633795,0.003724506,0
1.7,8.549425e-05,-4.627259e-05,0.0002145022,-0.002503443,0.001853943,0.0002826088,0.0005425769,0
1.71,5.645928e-05,0.0003665091,0.001546815,0.003209176,0.001853943,0.0003633986,-0.002556651,0
1.72,3.113179e-05,0.0006581506,0.001013886,0.00676352,0.001853943,0.0004147752,-0.004435815,0
1.73,6.84617e-06,0.0008592384,0.0002145022,0.008828141,-0.003008366,0.0004486286,-0.005489093,0
1.74,4.87948e-05,-0.0002127084,-0.002183665,-0.005304649,0.001853943,0.0002286739,0.001519377,0
1.75,1.37703e-05,0.000226357,-0.0008513518,9.715185e-05,0.001853943,0.0003271919,-0.0006658819,0
1.76,5.50433e-05,0.0005320472,-0.0005848892,0.004454543,-0.003008366,0.000396623,-0.003122267,0
1.77,1.977686e-05,-0.0004366719,-0.0008513518,-0.007974282,-0.007871151,0.0001985379,0.002949411,0
1.78,0.000123121,-0.002356262,-0.0008513518,-0.03189604,0.001853943,-0.0001784254,0.01516453,0
1.79,8.499477e-05,-0.001293646,0.001546815,-0.01678355,0.001853943,5.609466e-05,0.008276515,0
1.8,9.890404e-05,-0.0005199466,0.001813278,-0.004816426,0.001853943,0.0002088371,0.001578225,0
1.81,0.0001424964,6.15945e-05,0.0007474236,0.003017323,-0.003008366,0.0002986745,-0.002600257,0
1.82,0.0001365835,-0.0006993331,-5.196035e-05,-0.007138291,0.001853943,0.0001059094,0.00239414,0
1.83,0.0001224218,-4.411061e-05,0.0007474236,0.0007397099,-0.003008366,0.000213981,-0.001012377,0
