t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,r_phi
1.3,0.0006661844,0.0001301881,0.0002584793,-0.007889215,-8.535385e-05,0.0003756088,0.002575655,0
1.31,0.0006438228,0.0001247523,-0.0005409047,-0.007853677,-8.535385e-05,0.000374208,0.002516862,0
1.32,0.0005685433,0.0001141892,-0.001073834,-0.007840375,-8.535385e-05,0.000372301,0.002458364,0
1.33,0.0004641244,8.196017e-05,-0.002672609,-0.007917035,-8.535385e-05,0.0003698797,0.002392375,0
1.34,0.0004562584,2.47623e-05,-0.001340296,-0.00808413,-8.535385e-05,0.0003669189,0.002322719,0
1.35,0.0004914689,-1.620129e-05,-0.001073834,-0.00813033,-8.535385e-05,0.0003634443,0.002255276,0
1.36,0.0004420356,-3.037412e-05,-0.0005409047,-0.008018913,-8.535385e-05,0.0003594915,0.002186915,0
1.37,0.0004930226,-5.449581e-05,0.001324333,-0.007930779,-8.535385e-05,0.0003549617,0.002095123,0
1.38,0.0005342519,-5.050083e-05,0.001324333,-0.00766831,-8.535385e-05,0.000349593,0.001968359,0
1.39,0.0005149663,-2.965795e-05,0.001857255,-0.007322275,-8.535385e-05,0.0003431599,0.001821155,0
1.4,0.0005152179,-1.76097e-05,0.001324333,-0.007027188,-8.535385e-05,0.000335512,0.001652045,0
1.41,0.0004537917,-4.82257e-06,0.0007914044,-0.006738627,-8.535385e-05,0.0003265649,0.001473328,0
1.42,0.0003684192,-1.267886e-05,-0.001873218,-0.006574824,-8.535385e-05,0.0003164136,0.001307058,0
1.43,0.0002853909,-4.324756e-05,-0.001873218,-0.006532168,-8.535385e-05,0.0003052965,0.001161511,0
1.44,0.0002237538,-8.883196e-05,-0.001606755,-0.006560319,-8.535385e-05,0.0002935248,0.001045641,0
1.45,0.0002735074,-0.0001373639,0.0005249418,-0.006586217,-8.535385e-05,0.0002814184,0.0009564136,0
1.46,0.0002470787,-0.0001492225,-0.001340296,-0.006408091,-8.535385e-05,0.000269187,0.0008791199,0
1.47,0.0002615564,-0.0001613021,-0.0005409047,-0.00621847,-8.535385e-05,0.0002568543,0.0007940186,0
1.48,0.000272696,-0.0001591683,-7.979572e-06,-0.005929884,-8.535385e-05,0.0002442205,0.0006767611,0
1.49,0.0002666798,-0.0001478941,0.001590792,-0.005587033,-8.535385e-05,0.0002310265,0.0005360859,0
1.5,0.0003124643,-0.0001359236,0.0002584793,-0.005242227,-8.535385e-05,0.0002170977,0.0003772527,0
1.51,0.0003403429,-0.0001054764,0.001057871,-0.004819558,-8.535385e-05,0.0002023513,0.0002110263,0
1.52,0.0002926459,-6.824265e-05,-7.979572e-06,-0.004399796,0.004776955,0.0001868303,5.065679e-05,0
1.53,0.0003163444,0.001152363,-0.0002744421,0.01106561,-8.535385e-05,0.0004147466,-0.007622988,0
1.54,0.0002889591,0.0008427493,-0.00213968,0.006452187,-8.535385e-05,0.0003189403,-0.005742625,0
1.55,0.0001222471,0.000617081,-0.002406146,0.004355495,-8.535385e-05,0.0002369443,-0.005896103,0
1.56,0.0001246117,0.0004075883,-0.001340296,0.001964086,-8.535385e-05,0.0001626759,-0.005194128,0
1.57,0.0002096081,0.0002635165,0.0005249418,-0.0002284509,-8.535385e-05,0.0001025551,-0.003962867,0
1.58,0.0001225885,0.0001908096,0.0005249418,-0.001947424,-8.535385e-05,5.904171e-05,-0.00258855,0
1.59,5.594813e-05,0.0001071648,0.002390184,-0.003449609,-8.535385e-05,3.118597e-05,-0.001341385,0
1.6,0.0001559054,2.240564e-05,0.001857255,-0.004596543,-8.535385e-05,1.608518e-05,-0.0003576282,0
1.61,0.0001318343,-5.057394e-06,0.001857255,-0.005128217,-8.535385e-05,1.028544e-05,0.0003498399,0
1.62,0.0002571015,-3.409333e-05,0.0005249418,-0.00540954,-8.535385e-05,1.054515e-05,0.0007948264,0
1.63,0.0002599235,-1.163812e-05,0.0007914044,-0.005216843,-8.535385e-05,1.395374e-05,0.0009917507,0
1.64,0.0002500319,5.861979e-06,-0.001340296,-0.004927455,-8.535385e-05,1.817208e-05,0.00100411,0
1.65,0.0002356241,1.634318e-05,-0.002672609,-0.004588048,-8.535385e-05,2.152645e-05,0.0008747716,0
1.66,0.0002371159,2.110661e-05,-0.001073834,-0.004245772,-8.535385e-05,2.3012e-05,0.0006735912,0
1.67,0.0002628765,2.789296e-05,-0.001073834,-0.003899539,-8.535385e-05,2.228317e-05,0.000451335,0
1.68,0.0002843153,4.481521e-05,0.001057871,-0.003534713,-8.535385e-05,1.941656e-05,0.0002383068,0
1.69,0.000253585,6.749717e-05,0.001590792,-0.003188317,-8.535385e-05,1.469994e-05,4.794994e-05,0
1.7,0.0001679689,7.617733e-05,0.0007914044,-0.002958828,-8.535385e-05,8.491601e-06,-0.0001153641,0
1.71,6.362263e-05,5.596232e-05,0.001057871,-0.00290506,-8.535385e-05,1.175362e-06,-0.0002467633,0
1.72,4.517283e-05,8.922094e-06,0.001324333,-0.002995943,-8.535385e-05,-6.821753e-06,-0.0003381685,0
1.73,4.100935e-06,-2.726258e-05,-0.001073834,-0.003029328,-8.535385e-05,-1.505062e-05,-0.0003879913,0
1.74,-9.722743e-05,-6.349041e-05,-0.002406146,-0.003056068,-8.535385e-05,-2.314905e-05,-0.0004092879,0
1.75,-8.266087e-05,-0.0001203684,-0.002406146,-0.003149909,-8.535385e-05,-3.100047e-05,-0.000432988,0
1.76,1.989172e-05,-0.000151393,-0.000807371,-0.00306268,-8.535385e-05,-3.871869e-05,-0.0004734801,0
1.77,2.268103e-05,-0.0001334213,-0.001606755,-0.002708403,-8.535385e-05,-4.648945e-05,-0.0005325929,0
1.78,1.640404e-05,-0.0001151615,0.0007914044,-0.002347245,-8.535385e-05,-5.459541e-05,-0.0006292495,0
1.79,7.98295e-05,-9.965606e-05,0.001324333,-0.001987688,-8.535385e-05,-6.343485e-05,-0.0007713632,0
1.8,0.0001602443,-6.185924e-05,0.001590792,-0.00153136,-8.535385e-05,-7.327013e-05,-0.0009301481,0
1.81,0.0001226731,-2.559142e-06,0.001324333,-0.001018107,-8.535385e-05,-8.409032e-05,-0.001082689,0
1.82,0.0001130758,3.083248e-05,0.001590792,-0.0006935449,-8.535385e-05,-9.574153e-05,-0.001222541,0
1.83,5.903472e-05,5.525353e-05,-0.0005409047,-0.0004591154,-8.535385e-05,-0.0001079937,-0.001339328,0
1.84,1.440565e-05,5.762551e-05,-0.0005409047,-0.000386616,-8.535385e-05,-0.0001204462,-0.001407397,0
1.85,7.653797e-05,4.729404e-05,-0.001340296,-0.0004100865,-8.535385e-05,-0.0001325951,-0.001426032,0
1.86,6.412019e-05,6.449514e-05,-0.001340296,-0.0003226807,-8.535385e-05,-0.000143983,-0.00139917,0
1.87,5.981355e-05,7.491672e-05,-0.0005409047,-0.0002977053,-8.535385e-05,-0.0001542821,-0.001342871,0
