t,theta,theta_sim,theta_p,theta_p_sim,phi,phi_sim,phi_p,phi_p_sim
2.25,0.003312894,0.003442894,-0.9521718,-0.9052594,0.2099552,0.2147597,-0.4862309,0.09998684
2.26,-0.005840784,-0.005117509,-0.9577675,-0.8656415,0.2099552,0.2125136,0,0.09756974
2.27,-0.01497327,-0.01414059,-0.9575011,-0.8513704,0.2099552,0.2117823,0,0.09895246
2.28,-0.02399728,-0.02319704,-0.9511058,-0.8394593,0.2099552,0.2115597,0,0.1008326
2.29,-0.03282874,-0.0321026,-0.9396479,-0.8228664,0.2099552,0.211502,0,0.1023549
2.3,-0.04141537,-0.0407484,-0.9209956,-0.7996455,0.2099552,0.2114935,0,0.1033989
2.31,-0.04973879,-0.04907743,-0.8967475,-0.7699702,0.2099552,0.2114975,0,0.1040719
2.32,-0.05759181,-0.05707708,-0.8655714,-0.7350419,0.2099552,0.2115043,0,0.1045372
2.33,-0.06508622,-0.06455827,-0.8298654,-0.6925353,0.2099552,0.2115053,0,0.1046735
2.34,-0.07216571,-0.07160377,-0.7914948,-0.6458766,0.2099552,0.2115072,0,0.1047857
2.35,-0.07877779,-0.07819358,-0.7421992,-0.5957389,0.2099552,0.21151,0,0.1049063
2.36,-0.0848854,-0.08428276,-0.6926373,-0.5422013,0.2099552,0.2115128,0,0.1050171
2.37,-0.09045514,-0.08983514,-0.6401442,-0.485526,0.2099552,0.2115153,0,0.105116
2.38,-0.09544685,-0.09482002,-0.5831212,-0.4260491,0.2099552,0.2115175,0,0.1052055
2.39,-0.09965549,-0.09920091,-0.5157061,-0.3639489,0.2099552,0.2115193,0,0.1052752
2.4,-0.1033529,-0.1027791,-0.4517552,-0.2963396,0.2099552,0.2115143,0,0.1051041
2.41,-0.1062476,-0.1057871,-0.3846067,-0.2292105,0.2099552,0.2115155,0,0.1051395
2.42,-0.1084935,-0.1080039,-0.3174581,-0.1585442,0.2099552,0.2115121,0,0.1050195
2.43,-0.1099736,-0.1095361,-0.2388517,-0.08753932,0.2099552,0.2115111,0,0.104975
2.44,-0.1108318,-0.1103029,-0.1685055,-0.01509118,0.2099552,0.2115085,0,0.1048784
2.45,-0.1110467,-0.1104324,-0.09549484,0.05565921,0.2099552,0.21151,0,0.1049287
2.46,-0.1105029,-0.1099369,-0.01608902,0.1245099,0.2099552,0.211514,0,0.1050711
2.47,-0.1091743,-0.1087067,0.05505646,0.1935809,0.2099552,0.2115148,0,0.1051065
2.48,-0.1072383,-0.1066936,0.125669,0.2632846,0.2099552,0.2115119,0,0.1050058
2.49,-0.104629,-0.1040653,0.1978804,0.3298505,0.2099552,0.2115128,0,0.1050354
2.5,-0.1012912,-0.1007979,0.2695588,0.3940479,0.2099552,0.2115141,0,0.1050795
2.51,-0.0974372,-0.09682984,0.335375,0.4571412,0.2099552,0.2115123,0,0.1050203
2.52,-0.09308811,-0.09235455,0.3995925,0.5152753,0.2099552,0.2115153,0,0.1051248
2.53,-0.08798008,-0.08743425,0.4672739,0.5680221,0.2099552,0.2115216,0,0.1053558
2.54,-0.0825094,-0.08181766,0.5234975,0.6209564,0.2050929,0.211519,-0.4862309,0.1052745
2.55,-0.07644092,-0.07522107,0.5781223,0.6992214,0.2099552,0.2083038,0.4862309,0.1115543
2.56,-0.06996914,-0.06941576,0.6295496,0.7057979,0.2099552,0.2105472,0,0.1138733
2.57,-0.06298876,-0.06260644,0.6812433,0.7404314,0.2099552,0.2112742,0,0.1123311
